Model,Accuracy,Precision,Recall,F1-Score
Original Random Forest,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759
Tuned Random Forest,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759
